,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1995-04-20,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1995-04-21,50.06500009542165,49.974471199013806,49.84881791304838,50.015702135633106,49.88246619197736,50.08396177492746,49.97081941538118,50.00130923301252,49.961838802232315,49.99683854851577,49.99949846632693,49.95311087375012,49.998637984779776,50.01278943935242,50.014070994233485,49.95354947571874,49.96120382564705,50.038555927261314,50.01465217507109,50.016598809537925
1995-04-22,50.060153591662626,49.93025026896662,49.81905260548226,50.05247716033204,49.83856865242484,50.12436446911987,49.91560366634888,49.933820291074404,49.95588205470983,49.961041248451416,50.0058015063003,50.00590181182788,50.063319764327545,49.931534484223604,50.09225329606722,49.84911098193192,50.02023255849941,50.09290316160509,49.983710507824796,49.93598368768029
1995-04-23,50.067938073645344,49.959319520723184,49.89265584301091,49.946200500096374,49.76869388841628,50.181996158583146,49.872656621154995,49.97390482292099,50.04303335403224,49.9088838449727,50.02533927778907,49.99042261463005,50.178905904159045,49.91210032092431,50.216929870181694,49.7470737989062,50.04190817588448,50.029850548933496,49.95886421226704,50.00733770355037
1995-04-24,50.103813655943576,49.96769532502485,49.899887671588296,49.84954932137724,49.76712098591391,50.2425675444178,49.928047066925465,49.98305726443476,50.09933029633179,49.88473006307903,50.008916067388604,49.89157772070988,50.11863094889576,49.980370423832575,50.24406971250968,49.81417798231484,50.024711640161,50.003802963193664,49.85880659486873,50.014576986382544
1995-04-25,50.19597771602845,49.940397126887085,49.96444667935535,49.821873132183136,49.67386927768075,50.293560477690704,49.9462083540576,49.92228422362454,50.106257228188944,49.93247829742229,50.08152360419715,49.88737637783638,50.10743525100438,49.98739546891895,50.15760203359856,49.86298491002851,50.09158835718897,49.99353920350907,49.85825511491494,49.93479004386781
1995-04-26,50.05499965402323,49.9484260400989,50.04821109907709,49.93417638348495,49.674021447968606,50.25542368352832,50.00868158154906,49.98113073206825,50.08477228483856,50.019343354891,50.016560419605874,49.89206908180782,50.096640985672686,50.08125264062252,50.01685561185889,49.87267626398104,50.07790379314809,50.00076835702459,49.85036058940262,50.014562526392695
1995-04-27,49.99767563393959,50.025103537684046,50.04306145235109,49.99059549288241,49.69155076422229,50.231223134820596,50.02408376650797,49.97475648375051,50.07333705574336,49.95443553746724,50.00627355632972,49.85740524724385,50.10844267809109,50.09036312201949,50.03126269182392,49.81864717008848,50.10610839859701,49.952576292651244,49.9159019393944,49.931242257118456
1995-04-28,49.91084838291571,50.02886151667342,50.13190264357257,50.030570428158796,49.62098650248779,50.23457587138013,50.123230721987746,49.972923964035175,50.13651981830833,49.975515495920334,50.02797404679428,49.878512996806165,50.130067941039805,50.016984330106816,50.1573633243356,49.80292925294025,50.00500266545684,49.9551143178909,49.87241197196633,50.03706295912692
1995-04-29,49.98467482444949,50.00186696271567,50.094236923028156,49.98323317193432,49.54080712345335,50.37281431865157,50.065330427928124,49.99896025094393,50.1414494082852,49.95987577331392,50.05421000004744,49.874665147444894,50.10286660519798,50.04127072976505,50.15286647774389,49.72034223310914,50.032519226884496,49.91581183845551,49.810624472708696,49.980035744844805
1995-04-30,50.01070361917455,50.012406053662446,50.06490513834484,49.956395986424056,49.54885502760459,50.47733790342033,50.033790595428634,49.87865348938428,49.95640759011118,49.930026539554866,50.006290214040476,49.933989582637096,50.206321833579516,50.08473415623763,50.18435487545974,49.69380554615332,50.1275268703105,49.90629736838114,49.82963745955546,49.859220245084835
1995-05-01,50.027833281118845,49.98978512018188,50.14303753262451,49.958963661296174,49.52455161889487,50.46380395555319,50.084822203462366,49.807762172489284,50.00230367131566,49.93752319935899,50.00451437420622,49.89435028494795,50.29093529488827,50.18615550074778,50.25111804718546,49.71709823450493,50.00134392436346,49.93667528219664,49.84289536843511,49.74639063088715
1995-05-02,49.97716605280093,50.01602071305766,50.14802434369351,49.96141831020395,49.589069791469626,50.543535353906954,50.08332832431206,49.93076501695372,50.092793520157514,49.938877163358804,49.9726402845894,49.86639566617629,50.2310145419297,50.17479805231155,50.26046312304791,49.66122466603469,49.99263335585528,49.96748332867045,49.77067911366992,49.66688474646532
1995-05-03,49.924720893488605,49.99426248043523,50.206046967965676,50.060811123171305,49.59556984730522,50.5742503862789,50.0006968010851,49.8520664460802,50.2118014568325,49.99893150122428,49.9695498660203,49.94123742687505,50.2988973976013,50.155053910258104,50.14706978111198,49.73309313939683,49.939319075364814,49.99899339523081,49.7707154414322,49.61520175308898
1995-05-04,49.92865020445213,49.988861944774435,50.211800809744844,49.969402003429565,49.66282579782046,50.55589278024305,49.96881155469156,49.876538893259074,50.19101083466199,50.03146381449523,49.988132348047415,49.955966350282644,50.28811516882904,50.12402931402943,50.1994961136199,49.676547911510504,50.00036629593851,50.027074105731025,49.76693859028821,49.5137248487353
1995-05-05,49.9126953840624,50.02410343874497,50.30676180196403,50.026022004065545,49.67137267058213,50.62710050880817,50.04681726487061,49.91253130393476,50.29594919137467,49.96870528353751,50.01226273590926,50.022543349390816,50.326349173843305,50.07304247713917,50.22150032702805,49.66000527776925,50.059209335987255,50.06414234623487,49.8071963957714,49.51512357977684
1995-05-06,49.87550150143347,49.94564824466749,50.258843909192926,49.908816385463425,49.711615098775155,50.60264217524174,50.06224065261303,49.78943029507634,50.244547057608386,49.974987102036536,50.10897243015572,50.08896560160415,50.303722217027875,50.04285806141766,50.30720812538363,49.622667603489425,50.0576724321105,50.028819819971254,49.79824014464355,49.39400897983699
1995-05-07,49.937577586175216,49.87772417919337,50.303451498005714,49.87719971079527,49.67925438689643,50.60131792945323,50.0886470551238,49.74802312572103,50.25831141106271,49.95318190881416,50.042205433427306,50.08543892220666,50.33818540245952,50.083940054838024,50.3119141757577,49.68631551086946,49.92504865942936,49.990515806587396,49.84596778679397,49.41436741647219
1995-05-08,49.86593588854652,49.917998393276044,50.38525383790248,49.82483846793419,49.53324167150137,50.644100162431016,50.14174062319199,49.767697486875655,50.38011736828527,49.90950182810351,50.09385579768371,50.186459238525806,50.35880206946947,50.05965881556543,50.344172176959106,49.63371670501831,49.874097816551625,49.93368866444342,49.71635641613745,49.41723127753573
1995-05-09,49.92622986077321,49.871162150859924,50.3555555178643,49.826329600859516,49.61748898880098,50.735564409408575,50.28577093919894,49.76028050505979,50.39217030538236,50.00121462975218,50.157192393943724,50.185669770316935,50.359948010358714,50.142466693917235,50.32195538998506,49.686234082536586,50.02815663692977,49.9039742495238,49.620421002990874,49.438964517547994
1995-05-10,49.94022400091158,49.861457236052686,50.396540709378144,49.82236616652173,49.64828285729638,50.74433509177167,50.24268522349858,49.65772313710938,50.498041078230195,50.06020483188676,50.11807108812037,50.267195760188656,50.351565106086234,50.242703631817726,50.22645077405976,49.62352740743836,50.00680694132863,49.983716518153386,49.70458454495359,49.55416317820206
1995-05-11,49.914581354312205,49.86043092457765,50.489415990661186,49.842628509781,49.613810057248664,50.690091550745635,50.21395149934365,49.6690779703173,50.45218159482412,50.08384742887324,50.117713656302826,50.211154499903365,50.33176088228563,50.174014224558334,50.167816049862225,49.59296396350438,50.052881626790374,49.9573090494038,49.63793876136118,49.61692580608777
